topic,word,weight
0,year,0.02
0,quarter,0.014
0,million,0.013
0,share,0.011
0,revenue,0.01
0,zacks,0.009
0,intel,0.009
0,company,0.009
0,stock,0.009
0,earnings,0.009
1,stock,0.011
1,u,0.011
1,market,0.008
1,trade,0.007
1,nasdaq,0.006
1,company,0.006
1,year,0.006
1,week,0.006
1,china,0.006
1,earnings,0.005
2,nvidia,0.012
2,nasdaq,0.011
2,stock,0.009
2,market,0.008
2,company,0.008
2,nyse,0.008
2,technology,0.007
2,share,0.006
2,price,0.005
2,year,0.005
3,bitcoin,0.008
3,nasdaq,0.008
3,year,0.007
3,stock,0.006
3,market,0.006
3,company,0.005
3,week,0.005
3,nyse,0.005
3,earnings,0.005
3,u,0.005
4,stock,0.015
4,market,0.01
4,quarter,0.009
4,company,0.009
4,year,0.007
4,nasdaq,0.007
4,earnings,0.007
4,share,0.006
4,investor,0.005
4,nvidia,0.005
5,stock,0.009
5,market,0.009
5,zacks,0.008
5,year,0.007
5,nasdaq,0.006
5,portfolio,0.006
5,company,0.006
5,also,0.005
5,technology,0.005
5,earnings,0.004
6,nasdaq,0.013
6,company,0.011
6,stock,0.008
6,market,0.006
6,year,0.006
6,nvidia,0.006
6,nyse,0.006
6,driving,0.005
6,technology,0.005
6,week,0.005
7,nasdaq,0.015
7,nvidia,0.011
7,share,0.009
7,stock,0.009
7,market,0.008
7,traded,0.008
7,nyse,0.008
7,u,0.008
7,trade,0.008
7,year,0.007
8,stock,0.011
8,nasdaq,0.011
8,market,0.009
8,company,0.007
8,year,0.006
8,amd,0.006
8,share,0.006
8,chip,0.005
8,intel,0.005
8,nvidia,0.005
9,company,0.012
9,stock,0.011
9,zacks,0.01
9,year,0.01
9,growth,0.009
9,revenue,0.008
9,earnings,0.008
9,nasdaq,0.007
9,quarter,0.007
9,market,0.007
10,year,0.014
10,company,0.01
10,nasdaq,0.009
10,stock,0.008
10,quarter,0.007
10,market,0.007
10,revenue,0.006
10,also,0.005
10,zacks,0.005
10,price,0.005
11,nvidia,0.018
11,year,0.014
11,company,0.013
11,revenue,0.01
11,quarter,0.009
11,zacks,0.008
11,billion,0.008
11,nasdaq,0.008
11,market,0.008
11,amd,0.006
12,earnings,0.019
12,zacks,0.016
12,stock,0.016
12,year,0.016
12,company,0.015
12,nasdaq,0.012
12,quarter,0.012
12,estimate,0.01
12,share,0.009
12,rank,0.008
13,stock,0.015
13,nasdaq,0.01
13,zacks,0.01
13,market,0.009
13,company,0.008
13,year,0.008
13,investor,0.007
13,investment,0.006
13,week,0.006
13,growth,0.005
14,year,0.02
14,company,0.019
14,zacks,0.012
14,stock,0.011
14,growth,0.01
14,quarter,0.009
14,nasdaq,0.008
14,revenue,0.008
14,million,0.008
14,market,0.007
