topic,word,weight
0,zacks,0.019
0,year,0.019
0,company,0.015
0,quarter,0.014
0,stock,0.013
0,earnings,0.013
0,revenue,0.01
0,growth,0.01
0,share,0.009
0,nasdaq,0.008
1,stock,0.012
1,year,0.01
1,company,0.01
1,market,0.01
1,nvidia,0.009
1,nasdaq,0.007
1,earnings,0.007
1,growth,0.005
1,share,0.005
1,analyst,0.005
2,market,0.01
2,year,0.01
2,stock,0.009
2,company,0.007
2,week,0.007
2,nasdaq,0.006
2,share,0.005
2,earnings,0.005
2,quarter,0.005
2,nyse,0.005
3,company,0.011
3,stock,0.01
3,nasdaq,0.009
3,market,0.008
3,year,0.007
3,earnings,0.006
3,nvidia,0.006
3,etf,0.005
3,technology,0.005
3,quarter,0.005
4,stock,0.016
4,nasdaq,0.01
4,market,0.01
4,company,0.009
4,year,0.008
4,zacks,0.007
4,earnings,0.005
4,share,0.005
4,investor,0.005
4,nvidia,0.005
5,nasdaq,0.013
5,year,0.009
5,zacks,0.009
5,company,0.009
5,nvidia,0.007
5,stock,0.007
5,also,0.006
5,share,0.006
5,technology,0.006
5,analyst,0.006
6,company,0.012
6,nasdaq,0.011
6,year,0.009
6,nvidia,0.008
6,stock,0.006
6,driving,0.006
6,technology,0.005
6,market,0.005
6,said,0.005
6,billion,0.005
7,nasdaq,0.011
7,company,0.011
7,year,0.01
7,market,0.008
7,nvidia,0.008
7,stock,0.008
7,technology,0.006
7,zacks,0.005
7,nyse,0.005
7,high,0.005
8,nasdaq,0.022
8,nvidia,0.015
8,stock,0.012
8,share,0.011
8,day,0.011
8,traded,0.011
8,inc,0.009
8,nyse,0.009
8,trade,0.008
8,index,0.007
9,company,0.018
9,year,0.015
9,quarter,0.014
9,zacks,0.013
9,earnings,0.013
9,stock,0.011
9,nvidia,0.009
9,estimate,0.009
9,revenue,0.009
9,nasdaq,0.008
