topic,word,weight
0,array,0.002
0,implied,0.002
0,coronavirus,0.002
0,dealer,0.002
0,overvalued,0.001
0,opec,0.001
0,hybrid,0.001
0,economist,0.001
0,converged,0.001
0,virus,0.001
1,infineon,0.003
1,hubspot,0.003
1,sony,0.002
1,beta,0.002
1,cc,0.002
1,broadridge,0.002
1,stratasys,0.002
1,ametek,0.002
1,csra,0.002
1,signoff,0.002
2,pivot,0.005
2,extension,0.004
2,mania,0.003
2,paylocity,0.003
2,avnet,0.003
2,rig,0.003
2,statistic,0.002
2,publish,0.002
2,dxc,0.002
2,nxp,0.002
3,rx,0.004
3,epyc,0.003
3,tegra,0.003
3,bh,0.003
3,visualization,0.002
3,sequential,0.002
3,lisa,0.002
3,notebook,0.002
3,seagate,0.002
3,volta,0.002
4,flashstack,0.002
4,rig,0.002
4,dma,0.002
4,flashblade,0.002
4,kla,0.002
4,wizard,0.002
4,winning,0.002
4,flasharray,0.002
4,traction,0.002
4,arrow,0.002
5,apollo,0.002
5,lisa,0.002
5,shanghai,0.002
5,seek,0.002
5,mutual,0.002
5,robo,0.002
5,travel,0.002
5,peg,0.002
5,pacific,0.001
5,german,0.001
6,drug,0.002
6,acceleration,0.002
6,johnson,0.002
6,wizard,0.002
6,israel,0.002
6,equal,0.002
6,historical,0.001
6,ml,0.001
6,sheraz,0.001
6,screening,0.001
7,esports,0.005
7,oracle,0.003
7,accurate,0.003
7,ca,0.002
7,estimize,0.002
7,allocation,0.002
7,adobe,0.002
7,linear,0.002
7,peg,0.002
7,instagram,0.002
8,oracle,0.004
8,therapeutic,0.002
8,jd,0.002
8,suggests,0.002
8,brian,0.002
8,yeah,0.002
8,broke,0.002
8,neutral,0.002
8,uptrend,0.002
8,premarket,0.002
9,marvell,0.004
9,coronavirus,0.004
9,sma,0.003
9,alto,0.003
9,lithium,0.002
9,charging,0.002
9,fortune,0.002
9,virus,0.002
9,prediction,0.002
9,geo,0.002
10,microchip,0.003
10,rtx,0.002
10,packard,0.002
10,tracing,0.002
10,hewlett,0.002
10,breaking,0.002
10,jabil,0.002
10,activision,0.001
10,turing,0.001
10,resort,0.001
11,synopsys,0.003
11,fireeye,0.003
11,verification,0.002
11,kimball,0.002
11,nm,0.002
11,ssd,0.002
11,amkor,0.002
11,ic,0.002
11,sequential,0.002
11,teradyne,0.002
12,ethernet,0.006
12,beta,0.003
12,seagate,0.002
12,proofpoint,0.002
12,agilent,0.002
12,bhp,0.002
12,adapter,0.002
12,evp,0.002
12,marvell,0.002
12,genius,0.002
13,ethereum,0.004
13,dave,0.003
13,reader,0.002
13,write,0.002
13,ethernet,0.002
13,centric,0.002
13,ml,0.002
13,ether,0.002
13,rbc,0.002
13,accuracy,0.001
14,pct,0.003
14,housing,0.002
14,economist,0.002
14,fortinet,0.002
14,android,0.002
14,hat,0.002
14,udacity,0.002
14,jefferies,0.001
14,instance,0.001
14,employment,0.001
